parameter,effect,effect_size,vs_observed,cohens_d,n_per_cell_for_80pct_power
tau,meter,1.0718635681025783,1x,0.2773552154690786,104.0
tau,meter,2.1437271362051566,2x,0.5547104309381572,28.0
tau,meter,3.215590704307735,3x,0.8320656464072359,12.0
tau,meter,5.359317840512892,5x,1.3867760773453932,6.0
tau,interaction,3.221680077723814,1x,0.8336413315281306,48.0
tau,interaction,6.443360155447628,2x,1.6672826630562612,12.0
tau,interaction,9.665040233171442,3x,2.5009239945843915,6.0
tau,interaction,16.10840038861907,5x,4.168206657640653,4.0
s,meter,0.0056035850479744,1x,0.6475139584943599,20.0
s,meter,0.0112071700959488,2x,1.2950279169887198,6.0
s,meter,0.0168107551439232,3x,1.9425418754830797,4.0
s,meter,0.028017925239872,5x,3.2375697924717994,4.0
s,condition,0.0034315053304113,1x,0.3965225085487572,50.0
s,condition,0.0068630106608226,2x,0.7930450170975144,14.0
s,condition,0.0102945159912339,3x,1.1895675256462717,8.0
s,condition,0.0171575266520565,5x,1.982612542743786,4.0
s,interaction,0.009871835155800368,1x,1.140725268664698,26.0
s,interaction,0.019743670311600736,2x,2.281450537329396,8.0
s,interaction,0.029615505467401104,3x,3.422175805994094,4.0
s,interaction,0.04935917577900184,5x,5.70362634332349,4.0
sigma_0,meter,0.0810922717614223,1x,1.2679596127899428,6.0
sigma_0,meter,0.1621845435228446,2x,2.5359192255798857,4.0
sigma_0,meter,0.24327681528426687,3x,3.8038788383698283,4.0
sigma_0,meter,0.4054613588071115,5x,6.339798063949714,4.0
sigma_0,condition,0.0019253237469531,1x,0.030104382324670456,
sigma_0,condition,0.0038506474939062,2x,0.06020876464934091,
sigma_0,condition,0.0057759712408593,3x,0.09031314697401137,
sigma_0,condition,0.0096266187347655,5x,0.1505219116233523,
sigma_0,interaction,0.0887920859086688,1x,1.3883539876499864,18.0
sigma_0,interaction,0.1775841718173376,2x,2.776707975299973,6.0
sigma_0,interaction,0.26637625772600637,3x,4.165061962949959,4.0
sigma_0,interaction,0.443960429543344,5x,6.941769938249933,4.0
