subject,phase,trial,condition,n_clicks,expected_n_clicks,click_ioi_std_ms,click_flagged,n_taps,snr_ratio,bleed_frac,bleed_flagged,low_confidence_trial,duration_diff_ms
sub05,test,1,cued,60,59,0.4453057429076109,False,44,,0.1590909090909091,False,True,0.0
sub05,test,2,cued,50,49,0.5388241851464699,False,46,,0.043478260869565216,False,True,0.0
sub05,test,3,cued,54,53,0.35002645167226665,False,52,,0.36538461538461536,True,True,0.0
sub05,test,4,cued,57,58,0.3417712499506783,False,53,,0.2830188679245283,False,True,0.0
sub05,test,5,spontaneous,60,59,0.2576474060302812,False,54,,0.18518518518518517,False,True,0.0
sub05,test,6,cued,54,53,0.44316303415645075,False,52,,0.057692307692307696,False,True,0.0
sub05,test,7,spontaneous,52,51,0.41951321647980455,False,49,,0.12244897959183673,False,True,0.0
sub05,test,8,spontaneous,57,57,0.2644183925158904,False,57,,0.05263157894736842,False,True,0.0
sub05,test,9,spontaneous,56,56,0.4040123885490422,False,54,,0.037037037037037035,False,True,0.0
sub05,test,10,cued,57,58,0.40250277036303617,False,56,,0.0,False,True,0.0
sub05,test,11,spontaneous,52,51,0.42063898485676954,False,50,,0.06,False,True,0.0
sub05,test,12,spontaneous,57,57,0.40459620399229856,False,56,,0.10714285714285714,False,True,0.0
sub05,test,13,spontaneous,56,55,1.2429810986222954e-12,False,55,,0.05454545454545454,False,True,0.0
sub05,test,14,cued,57,58,0.3417712499503931,False,56,,0.05357142857142857,False,True,0.0
sub05,test,15,spontaneous,54,53,0.3512752454832158,False,50,,0.0,False,True,0.0
sub05,test,16,spontaneous,56,55,0.26520940926399167,False,54,,0.07407407407407407,False,True,0.0
sub05,test,17,cued,60,59,0.2545161880457515,False,58,,0.1724137931034483,False,True,0.0
sub05,test,18,cued,56,56,0.5520279417608567,False,54,,0.0,False,True,0.0
sub05,test,19,cued,56,56,0.4061358619770342,False,52,,0.019230769230769232,False,True,0.0
sub05,test,20,spontaneous,54,53,0.27175286161490353,False,52,,0.0,False,True,0.0
