trial,meter,n_pulses,bpm,tau_mean,tau_lo,tau_hi,tau_ci_width,tau_mean_s,max_rhat,converged
1,2,52,104.0,33.59750787439692,1.894124289559363,57.47895227222252,55.58482798266316,19.383177619844375,1.0094777297857986,True
2,2,56,112.0,41.831194553161254,8.777863809261204,57.76355682296256,48.98569301370136,22.4095685106221,1.0171453496984406,True
7,2,60,120.0,33.9939184278047,7.351647517608455,61.957958177612916,54.60631066000446,16.99695921390235,1.060884304690642,False
8,3,54,108.0,21.676996276195087,-5.240686820145831,52.67202852849589,57.912715348641726,12.04277570899727,1.0028788668532744,True
9,3,54,108.0,19.06949789681514,14.222775382960716,24.111367281814726,9.88859189885401,10.594165498230632,1.003513937752092,True
10,3,52,104.0,16.98449048356287,6.873129433934613,45.08400269080535,38.210873256870734,9.79874450974781,1.0228875582925283,True
14,2,51,104.0,24.50345350889938,22.246379541175486,26.07191580093808,3.8255362597625933,14.136607793595797,1.0022676069217216,True
15,3,52,104.0,35.17112626829567,32.62305250371706,37.12227537098956,4.4992228672725005,20.291034385555196,1.0015869529903043,True
19,2,54,108.0,23.56227897125625,21.39707471347057,25.808463564072245,4.411388850601675,13.090154984031251,1.0036828726079643,True
20,3,57,116.0,30.469732837944818,28.422018793686693,31.831918776272836,3.4098999825861434,15.760206640316285,1.0025730377824158,True
