condition,meter,BPM,SwitchTime,Subject,TrialNumber
spontaneous,2,120,0,sub02,1
spontaneous,3,104,0,sub02,2
cued,3,108,14,sub02,3
spontaneous,3,108,0,sub02,4
cued,2,104,12,sub02,5
cued,3,100,18,sub02,6
spontaneous,2,116,0,sub02,7
spontaneous,2,108,0,sub02,8
spontaneous,2,120,0,sub02,9
cued,3,112,12,sub02,10
spontaneous,3,104,0,sub02,11
cued,2,100,14,sub02,12
spontaneous,2,108,0,sub02,13
cued,3,104,16,sub02,14
cued,2,112,12,sub02,15
spontaneous,3,100,0,sub02,16
cued,3,112,12,sub02,17
spontaneous,3,100,0,sub02,18
cued,2,100,16,sub02,19
cued,2,100,18,sub02,20
