condition,meter,BPM,SwitchTime,Subject,TrialNumber,switch
spontaneous,3,116,0,sub04,1,0
cued,3,104,18,sub04,2,1
spontaneous,3,120,0,sub04,3,1
cued,2,116,18,sub04,4,1
cued,3,104,18,sub04,5,1
cued,2,104,18,sub04,6,1
spontaneous,2,112,0,sub04,7,1
spontaneous,2,116,0,sub04,8,1
cued,3,120,12,sub04,9,1
cued,3,120,16,sub04,10,1
spontaneous,3,120,0,sub04,11,1
cued,2,120,18,sub04,12,1
cued,2,100,18,sub04,13,1
spontaneous,3,116,0,sub04,14,1
spontaneous,2,104,0,sub04,15,1
cued,3,104,18,sub04,16,1
spontaneous,3,104,0,sub04,17,1
spontaneous,2,120,0,sub04,18,1
cued,2,104,14,sub04,19,1
spontaneous,2,104,0,sub04,20,1
